File Name,Label,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvector_1_X,Eigenvector_2_X,Eigenvector_3_X,Eigenvector_1_Y,Eigenvector_2_Y,Eigenvector_3_Y,Eigenvector_1_Z,Eigenvector_2_Z,Eigenvector_3_Z
Walking_Normal_Christian_4551.pcd,0,0.3414847521300347,0.2073393690217904,0.0926419121661726,-0.7251407276982228,0.1695562376050897,-0.6673991364412291,0.0514551812726563,0.9798432556091036,0.1930273523559591,0.6866755342616265,0.1056308512062634,-0.7192487983444602
Walking_Normal_Christian_849.pcd,0,0.7976512708445105,0.5077761045575114,0.0038080020553754,-0.3268588707001743,0.7822180082881607,-0.5303755897044189,0.8312000622625098,0.5050031495288988,0.2325473617581864,0.4497440773811332,-0.3648380551362422,-0.8152444163470225
Walking_Normal_Christian_4032.pcd,0,0.5286366861334534,0.3513702889345943,0.0585986119480603,0.8453990936070066,0.220427364636257,0.4865307281641789,0.3055786427117507,-0.9466798557582994,-0.1020732277332775,0.4380891069712826,0.2349660137572241,-0.8676801868961538
Walking_Normal_Christian_673.pcd,0,0.4268232368083807,0.0402321047874621,0.0092653541932344,0.0125693949035887,-0.8794026530860721,0.4759127903901457,0.7828143586864499,-0.2874713740645558,-0.5518712611902875,-0.6221283550410476,-0.3794880536177831,-0.6847956826786418
Walking_Normal_Christian_4103.pcd,0,0.1691926041362043,0.132909821408442,0.1101913092051454,-0.8424397079933371,0.5335256169405194,0.0751382357015314,0.4079139221873889,0.5404629771016396,0.7358709142697065,-0.3519965489629148,-0.6505768105694137,0.6729399996043685
Walking_Normal_Christian_4775.pcd,0,0.3543344307795261,0.1972652362399594,0.0250195104428299,-0.1766487056122682,0.9022579745619268,0.3933519825104726,-0.4407677989907176,0.2848130980661654,-0.8512374795219197,0.8800676009139231,0.3237468864859731,-0.3473743964546754
Walking_Normal_Christian_3360.pcd,0,0.1889883140234506,0.1209261736424961,0.0879333168424501,-0.5354065748834104,0.8407504900148542,0.0804885899453921,0.502512957169208,0.2405083489222902,0.8304435332855159,0.6788376296646147,0.4850714871423143,-0.5512577663061728
Walking_Normal_Christian_747.pcd,0,0.1604799364878673,0.0662496972420888,0.0106131173180132,-0.6472365863652311,-0.6272325655924819,-0.4332021582708874,0.567897467302162,-0.775848131001347,0.2748675030874081,0.5085049339997325,0.0681101041108387,-0.8583610812565642
Walking_Normal_Christian_3091.pcd,0,0.4085418296122358,0.1894146943917795,0.0933268472146128,-0.75001688172633,0.1726789149439057,-0.6384799679389388,-0.1579402468495399,0.8906360113377414,0.4264063481393124,0.6422846374860756,0.420653643324521,-0.6407190935247578
Walking_Normal_Christian_4738.pcd,0,0.1621941591196758,0.1041326760268091,0.0211187506698287,-0.0622176970309571,0.7489591246472502,0.6596887052116239,-0.6696271686144326,0.4587992784572766,-0.5840399619379654,0.7400867606095801,0.4780831012436091,-0.4729779435404057
